date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:18:28	633/633	---MCZ	200	added ('OK')	text/plain	date:Fri,%2021%20Aug%202026%2014:18:28%20GMT	https://blox.gifts/robots.txt		(from )
17:18:28	1448/1448	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Aug%202026%2014:18:28%20GMT	https://blox.gifts/	C:/My%20Web%20Sites/blox.gifts/blox.gifts/index.html	(from )
17:18:28	15086/15086	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22709226d66893b82f1d65614c27c42248%22	https://blox.gifts/favicon.ico	C:/My%20Web%20Sites/blox.gifts/blox.gifts/favicon.ico	(from https://blox.gifts/)
17:18:28	2369/2369	---M--	200	added ('OK')	image/png	etag:%22d6eaa99c6bae320d8a6af66f275157e0%22	https://blox.gifts/favicon-16x16.png	C:/My%20Web%20Sites/blox.gifts/blox.gifts/favicon-16x16.png	(from https://blox.gifts/)
17:18:28	4102/4102	---M--	200	added ('OK')	image/png	etag:%22f90a389037abb3ad4806fc027b63f272%22	https://blox.gifts/favicon-32x32.png	C:/My%20Web%20Sites/blox.gifts/blox.gifts/favicon-32x32.png	(from https://blox.gifts/)
17:18:28	6207/6207	---M--	200	added ('OK')	image/png	etag:%22883a86c0c3bdd8938434c234c665e849%22	https://blox.gifts/favicon-48x48.png	C:/My%20Web%20Sites/blox.gifts/blox.gifts/favicon-48x48.png	(from https://blox.gifts/)
17:18:29	27898/27898	---M--	200	added ('OK')	image/png	etag:%2274a8c56fd0b126fc336faa7a07f6e242%22	https://blox.gifts/apple-touch-icon.png	C:/My%20Web%20Sites/blox.gifts/blox.gifts/apple-touch-icon.png	(from https://blox.gifts/)
17:18:29	38924/38924	---M--	200	added ('OK')	font/woff2	etag:%22113639292e544fe589f48d9871ba744a%22	https://blox.gifts/assets/f39889.woff2	C:/My%20Web%20Sites/blox.gifts/blox.gifts/assets/f39889.woff2	(from https://blox.gifts/)
17:18:29	104254/104254	---MCZ	200	added ('OK')	text/javascript	etag:W/%226af5eee685012b6e30ba7caba5136f39%22	https://blox.gifts/assets/c96db5.js	C:/My%20Web%20Sites/blox.gifts/blox.gifts/assets/c96db5.js	(from https://blox.gifts/)
17:18:29	12399/12399	---MCZ	200	added ('OK')	text/css	etag:W/%226fa5f42bc3adf5b770525b2fd37d7cbc%22	https://blox.gifts/assets/2682a0.css	C:/My%20Web%20Sites/blox.gifts/blox.gifts/assets/2682a0.css	(from https://blox.gifts/)
17:18:30	54608/54608	---M--	200	added ('OK')	font/woff	etag:%22e54cdbb7f475b97465df5ada7fdf731d%22	https://blox.gifts/assets/e0b98d.woff	C:/My%20Web%20Sites/blox.gifts/blox.gifts/assets/e0b98d.woff	(from https://blox.gifts/assets/2682a0.css)
17:18:30	124256/124256	---MCZ	200	added ('OK')	font/ttf	etag:W/%226e22933d9b62f9e9499f0afe59faa869%22	https://blox.gifts/assets/8f480a.ttf	C:/My%20Web%20Sites/blox.gifts/blox.gifts/assets/8f480a.ttf	(from https://blox.gifts/assets/2682a0.css)
